Period,SC-HMM,Macro Overlay,SPY B&H,Risk Parity,Static 60/40
GFC Bear (2008-2009),5.3%,5.3%,-35.3%,-1.7%,-18.9%
EU Debt Crisis (2011),-6.1%,-6.1%,-6.5%,6.4%,1.0%
China Crash (2015-16),-1.4%,-2.5%,-6.0%,0.3%,-1.7%
COVID Crash (Q1 2020),-3.7%,-3.7%,-4.9%,3.6%,-0.0%
Rate Hike Bear (2022),-13.3%,-13.3%,-18.2%,-12.7%,-15.9%
Liberation Day (2025),6.2%,4.7%,-0.5%,1.9%,0.1%
