date,portfolio,market,ew
2006-12-01,-0.0013593644524153895,-0.0009267808079972406,0.003805891242561521
2006-12-08,0.00367126627573034,0.008558747978687054,-0.005401764026244548
2006-12-15,0.005424737814360419,0.0121134310953539,-0.0024801989343044895
2006-12-22,-0.00964331906581754,-0.011170687772817267,-0.0050049463801567825
2006-12-29,0.008112567046948727,0.00618139577600374,0.006631843835464935
2007-01-05,-0.012442147360763156,-0.007626511605071773,-0.013375705403206274
2007-01-12,0.019924606043960562,0.01921195404968601,0.013190490663219267
2007-01-19,-0.0033218692434004936,-0.0029324074128233013,-0.00023825570215834117
2007-01-26,-0.0005443802072283676,-0.004831069143462874,0.0023446692927659328
2007-02-02,0.017546624781992936,0.0188560857217992,0.011606095851860057
2007-02-09,-0.000493637840815669,-0.0060083143493081526,0.005070138943197189
2007-02-16,0.01064261965097918,0.01243608921158379,0.008059990304247222
2007-02-23,0.002519117697139295,-0.0029507713967512617,0.006703373937749446
2007-03-02,-0.044357359108041956,-0.04562968394711597,-0.02793429327781667
2007-03-09,0.012876637221150872,0.015215703247922985,0.006032241751749656
2007-03-16,-0.008501276364540566,-0.012079209589044959,-0.001598620129937611
2007-03-23,0.029798690823628127,0.03508266143259786,0.01611264716517602
2007-03-30,-0.00696827248668142,-0.009693944689626255,-0.0024499271817578264
2007-04-06,0.013575485523282782,0.01577453389606398,0.008713783227850859
2007-04-13,0.0018543234806689527,0.0074884590929904515,0.004589014646980672
2007-04-20,0.009887854837538157,0.02270769206903611,0.0121001460813432
2007-04-27,-0.00581409343987368,0.006123074638868742,-0.001189396873565385
2007-05-04,0.0063664431195381566,0.009295602103871925,0.006003185115568011
2007-05-11,-0.011376248350447078,-0.00039748376618131687,-0.007184489838183183
2007-05-18,-0.009397626555928762,0.011666459045191147,-0.005144564610838521
2007-05-25,-0.0045188600062376905,-0.006093543552265546,-0.0015415158230756454
2007-06-01,0.007083140556697027,0.015756124275648764,0.011004600619002103
2007-06-08,-0.01889627188436856,-0.01973021811718212,-0.018262648189097532
2007-06-15,0.003974538748237777,0.017808046571181846,0.008499049463058083
2007-06-22,0.0007018820700998962,-0.016463146561266018,-0.00540178335600372
2007-06-29,0.0004669476379450142,-0.0007969418878261969,0.001205416793926517
2007-07-06,0.0004961449481509345,0.016951642684701174,0.0067795110195714835
2007-07-13,0.010338874730940594,0.012223395409089566,0.008231260878534607
2007-07-20,-0.007195277897907314,-0.008717712951810674,0.003363941741833764
2007-07-27,-0.05071440142489546,-0.05465791463251568,-0.028476314033673792
2007-08-03,-0.006334734451085244,-0.009027917784937056,0.0006307530698394181
2007-08-10,0.010006593436166939,0.00632847034187578,0.004884734221105225
2007-08-17,-0.004572124665086573,0.0,0.0007833869891617608
2007-08-24,0.009932759196553554,0.025015686445881702,0.012871092662698837
2007-08-31,0.006030708494183495,-0.004989262369373582,0.000672419959712012
2007-09-07,0.024321047429616827,-0.010298657408964518,0.00954878573182636
2007-09-14,0.0022689560398642954,0.01937433555289747,0.0050818179960650635
2007-09-21,0.010139640894806186,0.025459606817976654,0.01591940123439089
2007-09-28,0.009346590865397698,0.004013294014336477,0.004171097739570629
2007-10-05,-0.001630221030232032,0.021432407833022804,0.012701662612905909
2007-10-12,0.005110744457322874,0.003079498616137988,0.0019709417448620092
2007-10-19,0.015670046547764445,-0.042602130762662616,-0.008247995884172663
2007-10-26,0.012651700939210631,0.026391374920407662,0.01858749691449555
