Strategy,Cumul.Ret,CAGR,Ann.Vol,Sharpe,Sortino,Max DD,Calmar,Hit Rate
SC-HMM Hard (net),151.4%,7.89%,10.26%,0.79,1.05,-25.15%,0.31,55.2%
SC-HMM Soft (net),144.1%,7.63%,10.07%,0.78,1.03,-24.56%,0.31,55.3%
SC-HMM Macro (net),131.9%,7.18%,9.45%,0.78,1.09,-21.96%,0.33,54.5%
Buy-Hold SPY,127.1%,6.99%,18.00%,0.47,0.56,-54.61%,0.13,57.1%
Buy-Hold SHY,24.2%,1.80%,1.19%,1.51,2.21,-1.90%,0.95,57.5%
Buy-Hold GLD,90.6%,5.46%,17.55%,0.39,0.57,-44.74%,0.12,53.7%
Equal-Weight 4A,100.9%,5.92%,10.81%,0.59,0.77,-26.69%,0.22,55.9%
Risk Parity,43.8%,3.04%,4.16%,0.74,0.83,-8.10%,0.37,59.0%
Static 30/10/30/30,95.6%,5.68%,9.11%,0.65,0.87,-21.04%,0.27,55.9%
