date,strategy,market,buy_hold,position
2015-01-02,-0.0005353516772858002,-0.0005353516772858002,-0.0005353516772858002,1.0
2015-01-05,-0.01805949999425971,-0.01805949999425971,-0.01805949999425971,1.0
2015-01-06,-0.009419288212663579,-0.009419288212663579,-0.009419288212663579,1.0
2015-01-07,0.012461134738837476,0.012461134738837476,0.012461134738837476,1.0
2015-01-08,0.017745208596957163,0.017745208596957163,0.017745208596957163,1.0
2015-01-09,-0.00801355189613795,-0.00801355189613795,-0.00801355189613795,1.0
2015-01-12,-0.007833277854305765,-0.007833277854305765,-0.007833277854305765,1.0
2015-01-13,-0.0028131272482742053,-0.0028131272482742053,-0.0028131272482742053,1.0
2015-01-14,-0.0060372030224583595,-0.0060372030224583595,-0.0060372030224583595,1.0
2015-01-15,-0.00916048138553971,-0.00916048138553971,-0.00916048138553971,1.0
2015-01-16,0.013114106642625467,0.013114106642625467,0.013114106642625467,1.0
2015-01-20,0.002132856099927416,0.002132856099927416,0.002132856099927416,1.0
2015-01-21,0.005047958708102707,0.005047958708102707,0.005047958708102707,1.0
2015-01-22,0.014871022088918329,0.014871022088918329,0.014871022088918329,1.0
2015-01-23,-0.005482815701080557,-0.005482815701080557,-0.005482815701080557,1.0
2015-01-26,0.0023418902700536037,0.0023418902700536037,0.0023418902700536037,1.0
2015-01-27,-0.013190559369220756,-0.013190559369220756,-0.013190559369220756,1.0
2015-01-28,-0.012824494136723708,-0.012824494136723708,-0.012824494136723708,1.0
2015-01-29,0.009243425392279958,0.009243425392279958,0.009243425392279958,1.0
2015-01-30,-0.01257474154651661,-0.01257474154651661,-0.01257474154651661,1.0
2015-02-02,0.01238429419075282,0.01238429419075282,0.01238429419075282,1.0
2015-02-03,0.014461051266852154,0.014461051266852154,0.014461051266852154,1.0
2015-02-04,-0.003807941718180996,-0.003807941718180996,-0.003807941718180996,1.0
2015-02-05,0.010094936703145985,0.010094936703145985,0.010094936703145985,1.0
2015-02-06,-0.002765322824957561,-0.002765322824957561,-0.002765322824957561,1.0
2015-02-09,-0.004475868389461901,-0.004475868389461901,-0.004475868389461901,1.0
2015-02-10,0.01065344413577951,0.01065344413577951,0.01065344413577951,1.0
2015-02-11,0.0005803527518377649,0.0005803527518377649,0.0005803527518377649,1.0
2015-02-12,0.009616834963949827,0.009616834963949827,0.009616834963949827,1.0
2015-02-13,0.004116335468376198,0.004116335468376198,0.004116335468376198,1.0
2015-02-17,0.001573067261580574,0.001573067261580574,0.001573067261580574,1.0
2015-02-18,9.54108938544529e-05,9.54108938544529e-05,9.54108938544529e-05,1.0
2015-02-19,-0.0007141104686104738,-0.0007141104686104738,-0.0007141104686104738,1.0
2015-02-20,0.006000480508770778,0.006000480508770778,0.006000480508770778,1.0
2015-02-23,-0.0001419146546026706,-0.0001419146546026706,-0.0001419146546026706,1.0
2015-02-24,0.002840789635532026,0.002840789635532026,0.002840789635532026,1.0
2015-02-25,-0.0008498053250755033,-0.0008498053250755033,-0.0008498053250755033,1.0
2015-02-26,-0.0,-0.0011814583305218562,-0.0011814583305218562,0.0
2015-02-27,-0.0,-0.0034058751411559784,-0.0034058751411559784,0.0
2015-03-02,0.005313214139710421,0.006313214139710421,0.006313214139710421,1.0
2015-03-03,-0.0,-0.004103745894733057,-0.004103745894733057,0.0
2015-03-04,-0.0,-0.004216221377193685,-0.004216221377193685,0.0
2015-03-05,0.0,0.0010946713694006682,0.0010946713694006682,0.0
2015-03-06,-0.0,-0.014064321682126013,-0.014064321682126013,0.0
2015-03-09,0.0031443268576746295,0.0041443268576746295,0.0041443268576746295,1.0
2015-03-10,-0.0,-0.016221844211860792,-0.016221844211860792,0.0
2015-03-11,-0.0033415062980397528,-0.0023415062980397527,-0.0023415062980397527,1.0
2015-03-12,0.0,0.012713669832733032,0.012713669832733032,0.0
2015-03-13,-0.0,-0.006132501680612745,-0.006132501680612745,0.0
2015-03-16,0.012361090872730629,0.01336109087273063,0.01336109087273063,1.0
2015-03-17,-0.0029728073767812946,-0.0029728073767812946,-0.0029728073767812946,1.0
2015-03-18,0.0,0.012021664939105392,0.012021664939105392,0.0
2015-03-19,-0.005561425288253984,-0.004561425288253984,-0.004561425288253984,1.0
2015-03-20,0.008826665834081204,0.008826665834081204,0.008826665834081204,1.0
2015-03-23,-0.0019483781358304864,-0.0019483781358304864,-0.0019483781358304864,1.0
2015-03-24,-0.005619477688097674,-0.005619477688097674,-0.005619477688097674,1.0
2015-03-25,-0.014653346783927157,-0.014653346783927157,-0.014653346783927157,1.0
2015-03-26,-0.0023817267108564577,-0.0023817267108564577,-0.0023817267108564577,1.0
2015-03-27,0.0022897394863934384,0.0022897394863934384,0.0022897394863934384,1.0
2015-03-30,0.012199915852196153,0.012199915852196153,0.012199915852196153,1.0
2015-03-31,-0.00873959608072461,-0.00873959608072461,-0.00873959608072461,1.0
2015-04-01,-0.0035358481921420326,-0.0035358481921420326,-0.0035358481921420326,1.0
2015-04-02,0.003597084771330472,0.003597084771330472,0.003597084771330472,1.0
2015-04-06,0.006733077782931529,0.006733077782931529,0.006733077782931529,1.0
2015-04-07,-0.0026461804876735107,-0.0026461804876735107,-0.0026461804876735107,1.0
2015-04-08,0.003377187866761,0.003377187866761,0.003377187866761,1.0
2015-04-09,0.0,0.004423405834630412,0.004423405834630412,0.0
2015-04-10,0.0,0.005457204175988828,0.005457204175988828,0.0
2015-04-13,-0.0,-0.0045230746147928436,-0.0045230746147928436,0.0
2015-04-14,0.0,0.0019133041356109715,0.0019133041356109715,0.0
2015-04-15,0.0,0.0044868772281918545,0.0044868772281918545,0.0
2015-04-16,-0.0,-0.0002849631923269591,-0.0002849631923269591,0.0
2015-04-17,-0.0,-0.011503447563859903,-0.011503447563859903,0.0
2015-04-20,0.00813653660198399,0.009136536601983991,0.009136536601983991,1.0
2015-04-21,-0.0,-0.0011913421965905613,-0.0011913421965905613,0.0
2015-04-22,0.0,0.004913967284034815,0.004913967284034815,0.0
2015-04-23,0.0,0.0025163382584263427,0.0025163382584263427,0.0
2015-04-24,0.0,0.0023205586923351618,0.0023205586923351618,0.0
2015-04-27,-0.0,-0.004157766854608114,-0.004157766854608114,0.0
2015-04-28,0.0,0.0031789721181334496,0.0031789721181334496,0.0
2015-04-29,-0.0,-0.004114700809484506,-0.004114700809484506,0.0
2015-04-30,-0.0,-0.010020567474120834,-0.010020567474120834,0.0
2015-05-01,0.009841708052991671,0.010841708052991672,0.010841708052991672,1.0
2015-05-04,0.0,0.002847189402643835,0.002847189402643835,0.0
2015-05-05,-0.0,-0.011451821569392728,-0.011451821569392728,0.0
2015-05-06,-0.0051168752105789075,-0.0041168752105789075,-0.0041168752105789075,1.0
2015-05-07,0.003989907740382215,0.003989907740382215,0.003989907740382215,1.0
2015-05-08,0.0,0.013165544530526097,0.013165544530526097,0.0
2015-05-11,-0.005772320127192531,-0.004772320127192531,-0.004772320127192531,1.0
2015-05-12,-0.0,-0.002991689827897437,-0.002991689827897437,0.0
2015-05-13,-0.000809034969663113,0.00019096503033688705,0.00019096503033688705,1.0
2015-05-14,0.0,0.010427355085564916,0.010427355085564916,0.0
2015-05-15,0.0,0.001083614105446884,0.001083614105446884,0.0
2015-05-18,0.0,0.0031067511827327365,0.0031067511827327365,0.0
2015-05-19,-0.0,-0.00032796170509097333,-0.00032796170509097333,0.0
2015-05-20,-0.0,-0.0007041865431312022,-0.0007041865431312022,0.0
2015-05-21,0.0,0.0029123096481911137,0.0029123096481911137,0.0
2015-05-22,-0.0,-0.002389032753616682,-0.002389032753616682,0.0
2015-05-26,-0.0,-0.010751330567156936,-0.010751330567156936,0.0
2015-05-27,0.008491852000691691,0.009491852000691692,0.009491852000691692,1.0
2015-05-28,-0.0,-0.0011281192851824162,-0.0011281192851824162,0.0
2015-05-29,-0.0,-0.006213347165905603,-0.006213347165905603,0.0
2015-06-01,0.0010368608833138957,0.0020368608833138957,0.0020368608833138957,1.0
2015-06-02,-0.0,-0.000992300545422875,-0.000992300545422875,0.0
2015-06-03,0.0,0.0026492838836214005,0.0026492838836214005,0.0
2015-06-04,-0.0,-0.008446548199865234,-0.008446548199865234,0.0
